modelId,modelFamily,engine,package,status,predictorCount,trainRows,validateRows,fitSeconds,predictSeconds,mnLogLoss,rocAuc,brier,accuracy,mse,rmse,mae,rsq,notes
null_mean,null,parsnip,parsnip,ok,504,2795,91,0.008000000000000007,0.0030000000000001137,NA,NA,NA,NA,3.1321436522869746e-4,0.017697863295570385,0.011764810002162413,NA,NA
linear_lm,linear,lm,stats,ok,504,2795,91,0.2889999999999997,0.017000000000000348,NA,NA,NA,NA,6.369238666794026e-5,0.007980751009017902,0.00477595572142134,0.7976839444310643,NA
ridge_glmnet,ridge,glmnet,glmnet,ok,504,2795,91,0.2530000000000001,0.01200000000000001,NA,NA,NA,NA,4.100137085135419e-5,0.006403231282044573,0.00404664724869921,0.870723558529083,NA
lasso_glmnet,lasso,glmnet,glmnet,ok,504,2795,91,1.2309999999999999,0.0030000000000001137,NA,NA,NA,NA,1.9133450835160865e-4,0.01383237175438864,0.008324644106885496,0.6690698290059296,NA
elastic_net_glmnet,elastic_net,glmnet,glmnet,ok,504,2795,91,1.0589999999999993,0.004000000000000448,NA,NA,NA,NA,1.1733994966112991e-4,0.010832356606996,0.0063695981786622,0.7405724961055404,NA
mlp_nnet,neural_net,nnet,nnet,ok,504,2795,91,136.787,0.025999999999982037,NA,NA,NA,NA,1.2091898832722075e-4,0.010996317034681237,0.006960659969289709,0.6158643768890969,NA
decision_tree_rpart,decision_tree,rpart,rpart,ok,504,2795,91,1.3179999999999836,0.011000000000024102,NA,NA,NA,NA,1.0741439667557153e-4,0.010364091695636986,0.004149966645565105,0.7100212581877814,NA
random_forest_ranger,random_forest,ranger,ranger,ok,504,2795,91,31.046999999999997,0.025000000000005684,NA,NA,NA,NA,3.83100908230251e-5,0.006189514587027411,0.0031881727576680576,0.8757455190047264,NA
xgboost,boosted_tree,xgboost,xgboost,ok,504,2795,91,0.9850000000000136,0.003999999999990678,NA,NA,NA,NA,3.7267194600105026e-5,0.006104686281874362,0.003179895752946755,0.8817805929144855,NA
lightgbm,boosted_tree,lightgbm,lightgbm,ok,504,2795,91,1.4519999999999982,0.008000000000009777,NA,NA,NA,NA,4.295235903695364e-5,0.006553804928204198,0.003462712627620503,0.8616713076481605,NA
bayes_regression_unavailable,bayesian_regression,unavailable,brulee/rstanarm,skipped_missing_package,504,2795,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No supported Bayesian baseline package is installed in this environment.
